"","iso_code","country_name","world_region","past_cases","date","new_cases","new_deaths","new_cases_per_million","new_deaths_per_million","new_tests","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","total_cases","total_deaths","total_cases_per_million","total_deaths_per_million","total_tests","total_tests_per_thousand","C1_School.closing","C1_Flag","C2_Workplace.closing","C2_Flag","C3_Cancel.public.events","C3_Flag","C4_Restrictions.on.gatherings","C4_Flag","C5_Close.public.transport","C5_Flag","C6_Stay.at.home.requirements","C6_Flag","C7_Restrictions.on.internal.movement","C7_Flag","C8_International.travel.controls","E1_Income.support","E1_Flag","E2_Debt.contract.relief","E3_Fiscal.measures","E4_International.support","H1_Public.information.campaigns","H1_Flag","H2_Testing.policy","H3_Contact.tracing","H4_Emergency.investment.in.healthcare","H5_Investment.in.vaccines","M1_Wildcard","ConfirmedCases","ConfirmedDeaths","StringencyIndex","StringencyIndexForDisplay","StringencyLegacyIndex","StringencyLegacyIndexForDisplay","GovernmentResponseIndex","GovernmentResponseIndexForDisplay","ContainmentHealthIndex","ContainmentHealthIndexForDisplay","EconomicSupportIndex","EconomicSupportIndexForDisplay"
"1","ABW","Aruba","Latin America and the Caribbean",0.4,2020-07-29,0.2,0,1.8732,0,NA,NA,NA,NA,NA,NA,106766,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,120,3,1123.953,28.099,NA,NA,"0",NA,"1","1","0",NA,"0",NA,"0",NA,"1","1","1","1","3","2","0","2","0","0","2","1","2","1","0","0",NA,"801","10","32.41","32.41","41.67","41.67","44.87","44.87","37.12","37.12","87.5","87.5"
"2","AFG","Afghanistan","Asia and the Pacific",268.4,2020-07-29,77,2.4,1.978,0.0618,NA,NA,NA,NA,NA,NA,38928341,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,36542,1271,938.699,32.65,NA,NA,"3","1","3","0","2","1","4","1","2","0","2","0","2","0","1","0",NA,"0","0","0","2","1","1","1","0","0",NA,"34451","1010","78.7","78.7","76.19","76.19","60.9","60.9","71.97","71.97","0","0"
"3","AGO","Angola","Africa",17.4,2020-07-29,39.6,2.6,1.2048,0.079,NA,NA,NA,NA,NA,76.39,32866268,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,1078,48,32.8,1.46,NA,NA,"3","1","2","0","2","1","4","0","1","0","2","0","2","0","4","1","1","0","0","0","2","1","2","0","0","0",NA,"346","29","76.39","76.39","78.57","78.57","61.86","61.86","68.56","68.56","25","25"
"4","AIA","Anguilla","Latin America and the Caribbean",0,2020-07-29,0,0,0,0,NA,NA,NA,NA,NA,NA,15002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,3,0,199.973,0,NA,NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,"2","1",NA,"2",NA,NA,NA,"3","0",NA,"78.7",NA,"78.57",NA,NA,NA,NA,"50","50"
"5","ALB","Albania","Europe",68.6,2020-07-29,112,4,38.9186,1.39,NA,NA,NA,NA,NA,59.26,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,5197,154,1805.893,53.513,NA,NA,"2","1","2","1","2","1","4","1","1","1","0",NA,"0",NA,"2","1","1","2","0","0","2","1","1","2","0","0",NA,"2535","83","59.26","59.26","66.67","66.67","62.82","62.82","60.61","60.61","75","75"
"6","AND","Andorra","Europe",0,2020-07-29,5,0,64.7124,0,NA,NA,NA,NA,NA,47.22,77265,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,922,52,11932.958,673.008,NA,NA,"0",NA,"2","1","2","1","3","1","1","1","1","1","0",NA,"2","2","1","2","0","0","0","1","2","1","0","0",NA,"855","52","41.67","41.67","48.81","48.81","53.21","53.21","44.7","44.7","100","100"
"7","ARE","United Arab Emirates","West Asia",420.8,2020-07-29,392.6,1.6,39.6952,0.1616,49663.6,5.0214,49185.4,4.9732,NA,50,9890400,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,60525,351,6119.57,35.489,5076384,513.264,"3","1","0","0","1","1","2","1","1","1","0",NA,"1","1","2","0",NA,"2","0","0","2","1","3","2","0","0",NA,"48667","335","50","50","64.29","64.29","57.69","57.69","59.09","59.09","50","50"
"8","ARG","Argentina","Latin America and the Caribbean",2414.6,2020-07-29,5095.2,92.8,112.7362,2.0534,10216,0.226,10999,0.2435,NA,90.74,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,178983,3311,3960.171,73.259,NA,NA,"3","1","3","0","2","1","4","1","2","1","2","0","2","1","4","1","1","2","0","0","2","1","1","2","0","0",NA,"72773","2373","92.59","92.59","96.43","96.43","85.9","85.9","87.88","87.88","75","75"
"9","AUS","Australia","Asia and the Pacific",55.2,2020-07-29,470.6,8.8,18.4552,0.345,81562.5,3.1985,67343.5,2.641,NA,68.06,25499881,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,16303,189,639.336,7.412,NA,NA,"2","0","2","0","2","0","3","0","1","0","2","0","2","0","4","1","1","2","0","0","2","1","3","2","0","0",NA,"7834","104","68.06","68.06","68.57","68.57","74.04","74.04","73.86","73.86","75","75"
"10","AUT","Austria","Europe",69.2,2020-07-29,132,1.2,14.656,0.1332,10640.75,1.1815,9198.25,1.0215,NA,NA,9006400,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,21009,718,2332.675,79.721,NA,NA,"0",NA,"1","1","1","1","2","1","0",NA,"0",NA,"0",NA,"2","2","0","2","0","0","2","1","3","2","0","0",NA,"19679","706","31.48","31.48","38.1","38.1","50.64","50.64","43.94","43.94","87.5","87.5"
